id,rate_unemployment,percent_college,percent_married,median_income,percent_lunch,year,state,zip_code,school_type,school_level,average_act
130528001724,1.40070357258944,-1.2490314232487891,-1.698290329301634,-1.1771820520306078,0.557367956971884,2016-2017,GA,30286,Regular School,High,17.5152625152625
170795000401,-0.028431921624201818,-0.23625982197984044,-0.2449798323600359,-0.5957616461386891,0.05425922110739285,2016-2017,IL,61422,Regular School,High,17.7
263393006961,-0.3179153018316104,-0.62793584675462,0.7883280560016906,-0.20885765143611215,-0.4277338313986336,2016-2017,MI,49343,Regular School,High,18.9
251089001745,-0.21898659260918668,1.1137868870805272,1.0671898426286155,0.24328865028125898,0.6713796225915687,2016-2017,MA,02143,Regular School,High,20.1282051282051
130187000873,-0.046933925360945844,-0.4999678033635021,-1.2511639994794859,-0.9875911636997086,1.2090208070640254,2016-2017,GA,31021,Regular School,High,19.004884004884
370201000894,-0.30362322647898116,0.9667892097177073,0.6174403300506215,0.9831606220261263,0.09739089997464496,2016-2017,NC,27546,Regular School,High,18.980463980464
390434800020,-0.5216807616972859,0.38077410937565953,-0.2647399515646561,-0.23164863008619382,2.4361624146787038,2016-2017,OH,44301,Regular School,High,18.0
170639000309,-0.9189375969524545,0.41930495278255814,1.5696664534172964,0.8402369756930135,-0.877321862527183,2016-2017,IL,61814,Regular School,High,19.3
120129004044,0.37478112766399,-1.2535306570958271,-0.8327719843275312,-1.0718676946420436,-1.0500582632591275,2016-2017,FL,34997,Regular School,High,23.3272283272283
170993005890,4.318140208185323,-1.0994295538787016,-2.3606685672696357,-1.262126450479172,2.26058359094309,2016-2017,IL,60644,Regular School,High,14.6
261008004491,1.0895188466405241,0.04848338608731702,0.04158901991163251,-0.23778466279967733,1.2840628662948776,2016-2017,MI,48035,Regular School,High,15.9
422214003056,-0.8777217620998814,0.0217105113617006,-0.2023571044142317,-0.38772091794819996,-0.684306393738603,2016-2017,PA,17702,Regular School,High,21.7887667887668
370072002823,-0.407940271503827,1.8472862462118012,0.7353642791586034,1.4744189145770625,-1.0041194422690272,2016-2017,NC,27510,Regular School,High,25.964590964591
262715006325,0.26838922643730184,-0.478701396822264,0.43300436498581396,-0.02218868344496705,-0.7466077859751449,2016-2017,MI,48831,Regular School,High,20.7
170816000429,-1.2296648073398306,-0.24373763345566093,1.1568162682660732,0.4133026723358059,-0.6300505307156881,2016-2017,IL,61238,Regular School,High,19.3
480780000092,-1.3983627288054754,-0.3003231685249841,0.6810776071410104,0.09589864000023632,0.2844066774143771,2016-2017,TX,78332,Regular School,High,20.2258852258852
481783001553,-0.9905857219760871,-1.2841605555827866,0.24617199748420548,-0.45918274111475643,-0.8301073727211484,2016-2017,TX,77435,Regular School,High,21.2026862026862
100068000090,-0.7681249462935538,-0.925797545075575,-0.09361434146297086,0.3068195468113401,0.11916829733620671,2016-2017,DE,19947,Regular School,High,16.0720390720391
171371001703,-0.2118641256480465,0.8841943746671163,0.9902312258748336,1.8384901889104184,0.6147169372658623,2016-2017,IL,60107,Regular School,High,17.9
421917007345,2.4414542878042083,0.29045600505019525,-2.7310779745942986,-0.9877163888571265,1.8774979928844946,2016-2017,PA,15219,Regular School,Other,14.5115995115995
551083001411,-0.8517022557279893,0.7051862902867381,0.6384099317701151,0.6115340965285493,-0.8038930279066374,2016-2017,WI,53154,Regular School,High,21.7
292928002009,5.117196277667931,-0.9797314294325696,-3.0586720043306763,-1.320397890397696,1.9650409290167272,2016-2017,MO,63113,Regular School,High,14.1
263039001171,1.6307175553054207,-1.2591139426313904,-1.4420274068326624,-0.7093408639168433,-0.0002207979447151077,2016-2017,MI,48602,Regular School,Other,23.7
550864000987,-0.5419634198544141,0.6432725622004457,0.6186805375084892,0.2130259039052348,-0.48254780582639506,2016-2017,WI,54854,Regular School,High,23.2
173277003396,-0.07163677173171053,0.5097544757593284,0.9731165580571783,0.4796302640482231,-0.913238805977018,2016-2017,IL,61559,Regular School,Other,21.7
